#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4218.240054683627    All      -0.7061445019511843        0.5656788991815986         -0.4543071545015555        0.3940010817479055        
Zeropoint     AB|SDSS|SDSS_u            3207.914823812728    All      -0.11848303418593913       0.09209799683347342        0.21296824913385123        0.0780969645442183        
Zeropoint     AB|SDSS|SDSS_r            5511.978736649162    All      0.7812732830553435         0.33745882931945914        -0.41468813349158445       -0.1630705954476324       
Zeropoint     AB|SDSS|SDSS_i            6684.237613954105    All      0.8847878173912287         0.011419907557908004       0.547053797326772          -0.26007216273601075      
Zeropoint     AB|SDSS|SDSS_z            7947.001333949933    All      0.15230252723701748        -0.0057752835495250565     0.1179952256041047         -0.04622555859243655      
Check         All|All|All               All                  All      0.9937360915464662         1.0008803493429141         0.009021984071587955       0.002729729516044159      
Lambda        AB|SDSS|SDSS_g            4218.240054683627    All      -0.0005736248438089888     0.0002535630861412923      -0.0014121768443385242     0.00020642335579019652    
Lambda        AB|SDSS|SDSS_u            3207.914823812728    All      -7.530994536165806e-05     5.795176833876877e-05      0.0001317563455776875      4.928740490051141e-05     
Lambda        AB|SDSS|SDSS_r            5511.978736649162    All      8.749758260602136e-05      5.613459495271178e-07      -0.0009117740654049311     -6.900628130845923e-05    
Lambda        AB|SDSS|SDSS_i            6684.237613954105    All      -0.00038565341891302755    -2.3518937262352396e-05    -0.00047217356911383917    9.68881767694069e-05      
Lambda        AB|SDSS|SDSS_z            7947.001333949933    All      4.69125278590879e-06       2.12207242926236e-06       2.9611779737826107e-05     4.84571162031188e-07      
MWEBV         All|All|All               All                  All      -0.805536160187077         -3.4356429758478413        0.35337053982962635        -0.8409430135843992       
Redshift      All|All|All               All                  All      2.3741162618031164         -0.11767609902353371       -1.8779110846132194        -0.895461296227577        
