#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                5644.611753636443     All      0.40799769201204517        0.03619185003422842        -4.043186871006338         -0.30153825514843163       
Zeropoint     AB|PS|PS_z                6487.036228722048     All      1.0271488948391712         0.10861682601337463        2.0158883251698            -0.2092362763119003        
Zeropoint     AB|PS|PS_r                4660.282778667165     All      0.30694888781488183        0.507068017464718          2.5349224519533258         0.17830733080372696        
Zeropoint     AB|PS|PS_g                3669.7101577209305    All      -0.7486723663123442        0.34704571059851475        -0.5289105356873318        0.33330857769436306        
Check         All|All|All               All                   All      0.9934231083537538         0.9989224041108358         -0.021286629570543836      0.0008413770377581065      
Lambda        AB|PS|PS_i                5644.611753636443     All      -8.832647285717074e-05     3.0887788069162867e-06     -0.00015539180531344405    2.2842532357050555e-05     
Lambda        AB|PS|PS_z                6487.036228722048     All      -0.00017549650470146877    -2.226089054429646e-05     -0.0007139319907792967     1.8054375055507705e-05     
Lambda        AB|PS|PS_r                4660.282778667165     All      -8.866027589214513e-05     -0.00011562635118975374    -0.000597880220212507      -3.5464386145512075e-05    
Lambda        AB|PS|PS_g                3669.7101577209305    All      -0.0009473166974289528     0.00047214141352491405     -0.0006665012107908432     0.00043262131761417634     
MWEBV         All|All|All               All                   All      -0.5112067926146899        -2.7666336004408265        -0.12161366336839513       -0.7400937718917286        
Redshift      All|All|All               All                   All      4.655198403477585          0.012331833143441884       1.0368647012543746         -1.4660638782613336        
