#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                7646.984980637147    All      0.39700467015192287       -0.06352902351327572      0.1296532987444159         -0.1442251438883432       
Zeropoint     AB|PS|PS_g                4325.892051463356    All      -0.9250980761506539       0.8077527766136683        0.037351484863221804       0.5661133570653367        
Zeropoint     AB|PS|PS_r                5493.589238210607    All      0.5353920505742507        0.36944423239422264       -0.26650674354505594       -0.06594763584550513      
Zeropoint     AB|PS|PS_i                6653.926350907584    All      0.9901131475618835        -0.11519141849039016      0.1003691227316549         -0.3555550476345397       
Check         All|All|All               All                  All      0.9974117921374028        0.998476567004225         0.0008671627942366672      0.0003855296969487165     
Lambda        AB|PS|PS_z                7646.984980637147    All      -6.863700719868933e-05    4.515373522744441e-06     -6.58979100112408e-05      2.08874159771641e-05      
Lambda        AB|PS|PS_g                4325.892051463356    All      -0.0004425220202079053    0.0002409015947569697     -0.0006938086321971006     0.00019165206265598446    
Lambda        AB|PS|PS_r                5493.589238210607    All      8.251351312508215e-05     3.384245187234603e-05     -0.0005634697963434899     -4.099883496801116e-05    
Lambda        AB|PS|PS_i                6653.926350907584    All      -0.0003732076654412552    2.3848893513666572e-05    -0.00037168005182398455    0.00011274801037623318    
MWEBV         All|All|All               All                  All      -0.5756788845673229       -3.5437835927591976       0.020357534017750277       -0.9659008879581248       
Redshift      All|All|All               All                  All      3.244158285834973         1.2084063798265987        2.1839477940919876         -0.5656518104943884       
