#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4088.9264830891834    All      -0.867049744779816         0.66714090661808          -0.021180569460832466     0.4987911769973166         
Zeropoint     AB|SDSS|SDSS_i            6479.32688624751      All      1.0919283306913417         -0.054325808270760945     -0.09767681842145493      -0.3777315514937596        
Zeropoint     AB|SDSS|SDSS_r            5343.0045560078015    All      0.6722576067427826         0.3758632771541315        0.05900149107662678       -0.0939124186681281        
Zeropoint     AB|SDSS|SDSS_z            7703.3795597889675    All      0.13641482611645392        -0.0128210722456501       0.02567580939878411       -0.04746524836301974       
Zeropoint     AB|SDSS|SDSS_u            3109.5735919576587    All      -0.03887361992573455       0.02356066508095722       0.03497877181517506       0.02189784258806865        
Check         All|All|All               All                   All      0.9946773988450276         0.9994179683367577        0.0007986844082985556     0.0015798010604778367      
Lambda        AB|SDSS|SDSS_g            4088.9264830891834    All      -0.0008148756565828715     0.00047767968577329476    -0.0006500615649645608    0.00039201853679349236     
Lambda        AB|SDSS|SDSS_i            6479.32688624751      All      -0.00042702736781356917    -6.938108571323945e-05    -0.0009601374504287376    7.36506356324406e-05       
Lambda        AB|SDSS|SDSS_r            5343.0045560078015    All      0.00013115042947010815     4.0172217038407186e-05    -0.0016642209236505947    -0.00010390113321558061    
Lambda        AB|SDSS|SDSS_z            7703.3795597889675    All      -1.3944504543520532e-06    2.172287015246538e-06     2.4634402089833897e-05    2.261123959578448e-06      
Lambda        AB|SDSS|SDSS_u            3109.5735919576587    All      -3.392064250006757e-05     2.131574398216208e-05     3.675677083532157e-05     1.9632594165038667e-05     
MWEBV         All|All|All               All                   All      -0.6702056183899487        -3.384975083674213        0.03264252724883843       -0.8828330420362129        
Redshift      All|All|All               All                   All      6.7559728824938405         -0.8764164939226049       5.818825930660987         -2.226452841666414         
