#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                7366.314569090481    All      0.6068605705247513        -0.14171025622573552       0.06653747377486731        -0.24086488366232248       
Zeropoint     AB|PS|PS_r                6081.748475696575    All      0.978616387545546         0.03008163695641386        -0.0667688220182145        -0.3119485600018331        
Zeropoint     AB|PS|PS_g                4789.034317859677    All      -1.048448589928636        1.2541940011293384         -0.017884107088828947      0.7492483610380473         
Zeropoint     AB|PS|PS_z                8465.69287091676     All      0.46156560589778156       -0.14364997865863316       0.018853362804518006       -0.19629728789973805       
Check         All|All|All               All                  All      0.9985939740394427        0.9989154032013836         0.000737907472341863       0.00013762947415368876     
Lambda        AB|PS|PS_i                7366.314569090481    All      2.770907176193613e-05     -0.00018228214052727404    -0.0006919513129872416     -9.927965542946654e-05     
Lambda        AB|PS|PS_r                6081.748475696575    All      -6.496845034279523e-05    -7.350159633603982e-05     -0.0003629158590184284     -1.897479435790531e-05     
Lambda        AB|PS|PS_g                4789.034317859677    All      -0.0006057960786849197    0.0006340402409112996      -0.00012807730473182475    0.0003981399768234395      
Lambda        AB|PS|PS_z                8465.69287091676     All      0.000600135400976643      -0.0002219299623797685     -8.075011292978026e-05     -0.00027137724066051837    
MWEBV         All|All|All               All                  All      -0.6428385283806706       -4.087366152142469         -0.004126318868393163      -1.1221801073116509        
Redshift      All|All|All               All                  All      5.629745128078977         -0.9164706580287785        -0.31947735580267883       -2.1465746527207568        
