#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5880.791651245433    All      0.6741997207284006        0.05905055160759787        -4.2378457751176075       -0.3894899154110472       
Zeropoint     AB|PS|PS_z                6758.464560581781    All      1.0440855160931677        0.16232485267302366        4.703529103599909         -0.07732155577425295      
Zeropoint     AB|PS|PS_r                4855.276722898222    All      -0.13856011917599348      0.16246939416788564        -2.4515707249054093       -0.011347125722528344     
Zeropoint     AB|PS|PS_g                3823.256904093139    All      -0.5826385811860565       0.6151056404867461         1.9933922009061005        0.4791006362205011        
Check         All|All|All               All                  All      0.9970865364595184        0.9989504389352533         0.0075048044829924        0.0009420393126725601     
Lambda        AB|PS|PS_i                5880.791651245433    All      -7.02515607735394e-05     -6.417130810006142e-06     0.0008899465590248198     6.050720148206306e-05     
Lambda        AB|PS|PS_z                6758.464560581781    All      -0.0007392954641886558    -0.00011807243031701698    -0.0031573421808594234    6.145509937911976e-05     
Lambda        AB|PS|PS_r                4855.276722898222    All      -8.726175578407903e-05    -2.7015881684556715e-05    -0.0008691767334331132    -1.916330240417401e-05    
Lambda        AB|PS|PS_g                3823.256904093139    All      -0.0006903054064392041    0.0006971313044971735      0.001439838719836257      0.0005161871711902101     
MWEBV         All|All|All               All                  All      -0.4773186247906973       -2.9406311301393373        0.2451129214073305        -0.791443659646852        
Redshift      All|All|All               All                  All      5.290969376475132         0.833480327481162          20.44072842553944         -0.5397750015293379       
