#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7556.920357155027     All      0.08346733212144519        0.001728770103248678       0.08477579438329197       -0.022841784425956194     
Zeropoint     AB|SDSS|SDSS_u            3050.453349306373     All      -0.06840873762007456       0.02588785268624605        0.024829018807349057      0.03182350680225649       
Zeropoint     AB|SDSS|SDSS_i            6356.139778303623     All      1.0196758802876937         0.025091847754765695       0.08648307502062626       -0.32010939780296493      
Zeropoint     AB|SDSS|SDSS_r            5241.421584421257     All      0.8373155353966482         0.3694200574061668         -0.02517380318540104      -0.15353234170256722      
Zeropoint     AB|SDSS|SDSS_g            4011.1864590264913    All      -0.879559916451109         0.5779373247937869         -0.16805328651726634      0.4672553553719969        
Check         All|All|All               All                   All      0.9924900937346037         1.0000658527442141         0.002860798508599882      0.002595338242765033      
Lambda        AB|SDSS|SDSS_z            7556.920357155027     All      -9.113603686090994e-06     -2.1438612855410506e-07    -8.842855570207787e-06    2.5041519037193557e-06    
Lambda        AB|SDSS|SDSS_u            3050.453349306373     All      -6.904931767303584e-05     2.6407940844722236e-05     2.9605414520758134e-05    3.241472322706904e-05     
Lambda        AB|SDSS|SDSS_i            6356.139778303623     All      -0.00028421010146243634    -2.286050153410165e-05     -0.00040790616159151      6.692718429651395e-05     
Lambda        AB|SDSS|SDSS_r            5241.421584421257     All      0.00018168715458203346     5.8421839891378575e-05     -0.00148426877266181      -0.000106387666627141     
Lambda        AB|SDSS|SDSS_g            4011.1864590264913    All      -0.0007980218995511032     0.0004088719188526658      -0.0008742376240260729    0.0003541118123492498     
MWEBV         All|All|All               All                   All      -0.7122639869742304        -3.2703793755713306        0.10776849284256516       -0.8284531286897944       
Redshift      All|All|All               All                   All      5.193570470272817          -0.5697331476190115        -2.894042357967854        -2.006445413984829        
