#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6520.9196733257795    All      0.9053412966040283         -0.042420972747692076      -0.09258767333105503      -0.3128491142013273        
Zeropoint     AB|SDSS|SDSS_u            3129.5348988318374    All      -0.030314735244899582      0.06546882835234413        0.271800528661453         0.04332906710875009        
Zeropoint     AB|SDSS|SDSS_r            5377.302941435452     All      1.0138691589314701         0.4865744680323303         0.8277537016742841        -0.13481838233542764       
Zeropoint     AB|SDSS|SDSS_z            7752.829916506339     All      0.10160195320556081        0.007790302268517735       0.11040550411907032       -0.025630650447143466      
Zeropoint     AB|SDSS|SDSS_g            4115.174556627625     All      -0.9936505431053306        0.48293258110696513        -1.1053328489434724       0.4316457732596222         
Check         All|All|All               All                   All      0.9968471303908288         1.0003452070124652         0.012039212180279923      0.0016766933844738485      
Lambda        AB|SDSS|SDSS_i            6520.9196733257795    All      -0.00034433916117672413    -5.9274470563129365e-05    -0.000587370494264432     6.66433006186865e-05       
Lambda        AB|SDSS|SDSS_u            3129.5348988318374    All      -2.928699551951111e-05     5.003165602325106e-05      0.00019275654674174106    3.443853369588948e-05      
Lambda        AB|SDSS|SDSS_r            5377.302941435452     All      0.00010120273932775174     -9.7459108575416e-05       -0.0015992382771973532    -0.00013607735891830788    
Lambda        AB|SDSS|SDSS_z            7752.829916506339     All      5.521789159870219e-06      -1.0247099697916654e-07    1.3805837511033422e-05    -1.2159154455497742e-06    
Lambda        AB|SDSS|SDSS_g            4115.174556627625     All      -0.0008847826551577828     0.00033912195558081604     -0.0012937220606949326    0.0003409331232649489      
MWEBV         All|All|All               All                   All      -0.6786319729623731        -3.3568451233627172        0.3161940891730941        -0.8582718437080229        
Redshift      All|All|All               All                   All      6.308682975820527          -0.3917170435396855        4.4324293786053275        -1.9847417571632844        
