#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3990.1974810602383    All      -0.8597684534568931        0.6011091944495561         0.2827831084201038         0.48847522272312816       
Zeropoint     AB|SDSS|SDSS_r            5213.995264734796     All      0.7034729311216568         0.3152287677069765         -1.2080625220462105        -0.18037417880619258      
Zeropoint     AB|SDSS|SDSS_z            7517.377933363651     All      0.1108318772232099         0.006236835814199537       0.2705776629591816         -0.02199540768195521      
Zeropoint     AB|SDSS|SDSS_i            6322.880572051312     All      1.1055587963522933         0.060395418553760294       0.7017367266518637         -0.3091288098525172       
Zeropoint     AB|SDSS|SDSS_u            3034.4915138769593    All      -0.06544166007364864       0.016804873083309246       -0.03854225841582459       0.02507043770488271       
Check         All|All|All               All                   All      0.9946534911666183         0.9997750896078017         0.008492717569114072       0.002047264087345957      
Lambda        AB|SDSS|SDSS_g            3990.1974810602383    All      -0.0007644510004006194     0.0004372946743934897      -0.00047695768575855256    0.0003701636716108102     
Lambda        AB|SDSS|SDSS_r            5213.995264734796     All      5.513382248654037e-05      4.3756618287774493e-05     -0.0019115062823348255     -8.900767585623356e-05    
Lambda        AB|SDSS|SDSS_z            7517.377933363651     All      -1.5480234568218305e-05    -1.399363656771224e-06     -5.1265288433791416e-05    2.298868532904774e-06     
Lambda        AB|SDSS|SDSS_i            6322.880572051312     All      -0.00034287394133510475    -3.1797082827748594e-05    -0.0006574146681830252     7.199056969585723e-05     
Lambda        AB|SDSS|SDSS_u            3034.4915138769593    All      -5.3754598778737124e-05    2.1630263745356194e-05     6.988663825843013e-05      2.7674049500162297e-05    
MWEBV         All|All|All               All                   All      -0.6676926344660759        -3.2557600487695737        0.21653203872210036        -0.8333558713350391       
Redshift      All|All|All               All                   All      5.222209632107897          -0.5585352795153042        -1.7240157423441982        -1.9599137030372498       
