#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6570.416372380243    All      0.8511809787765675         -0.01770356131061135       -0.156590056997008        -0.2900121752103482        
Zeropoint     AB|SDSS|SDSS_u            3153.289469479526    All      -0.06222493324118876       0.05399687837055467        0.20851194019142483       0.047162197856015844       
Zeropoint     AB|SDSS|SDSS_g            4146.410573445801    All      -0.8105430633851876        0.5636809686075495         -0.7972253909726557       0.4120534701724701         
Zeropoint     AB|SDSS|SDSS_z            7811.677365703952    All      0.11347008870061996        0.005083089930124629       0.16078556254184306       -0.02813009013103024       
Zeropoint     AB|SDSS|SDSS_r            5418.119077617232    All      0.9036363200411318         0.3970446747805667         0.6152238650116937        -0.13755894975699123       
Check         All|All|All               All                  All      0.9955193908919431         1.0021020503781841         0.030705919775297907      0.003514452930116263       
Lambda        AB|SDSS|SDSS_i            6570.416372380243    All      -0.0002982715093382422     5.243861897806304e-06      7.198061628469745e-05     0.00010207710608047298     
Lambda        AB|SDSS|SDSS_u            3153.289469479526    All      -3.3820440760817355e-05    6.152890696347992e-05      0.0003638696683292661     4.7296251558764416e-05     
Lambda        AB|SDSS|SDSS_g            4146.410573445801    All      -0.0007256526115336176     0.0002650017615929513      -0.0021020486130976343    0.00022888394564566546     
Lambda        AB|SDSS|SDSS_z            7811.677365703952    All      -1.050602539192523e-05     -1.2727348101203303e-06    -3.022814528507769e-05    1.658643217507901e-06      
Lambda        AB|SDSS|SDSS_r            5418.119077617232    All      0.00025243320097825806     0.00011617636503064016     0.000508522062314046      -2.1690330101170544e-05    
MWEBV         All|All|All               All                  All      -0.7468259605848835        -3.3349665386099403        0.8174680747128349        -0.806562687879283         
Redshift      All|All|All               All                  All      3.6749280121722645         -1.0892933144976524        -7.087960255233483        -1.8681667366895454        
